year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2012,KIRKLARELİ,12548,11232,1316,341218,80,36.77414438863131,32.91737247155777,3.856771917073542,-5.0469185899061575,4.7499791301444105,1166.0,-5.33048273352369,3.4158535134333197
2013,KIRKLARELİ,14120,13297,823,340559,80,41.4612446007887,39.0446295649212,2.4166150358675003,18.384971509971514,12.527892891297409,-493.0,18.614052803448033,-1.440156881206042
2014,KIRKLARELİ,14553,13678,875,343723,80,42.339325561571385,39.7936710665274,2.545654495043974,2.865307964202457,3.066572237960341,52.0,1.9184238906934326,0.12903945917647386
2015,KIRKLARELİ,16098,13816,2282,346973,80,46.39554086341012,39.818660241574996,6.576880621835128,1.0089194326655893,10.616367759224898,1407.0,0.06279685783656674,4.031226126791154
2016,KIRKLARELİ,16882,13175,3707,351684,80,48.00332116331707,37.46260847806553,10.540712685251533,-4.639548349739431,4.870170207479196,1425.0,-5.916953883469667,3.9638320634164046
2017,KIRKLARELİ,16074,14023,2051,356050,80,45.145344754950145,39.384917848616766,5.76042690633338,6.436432637571166,-4.786162776922165,-1656.0,5.131274752735782,-4.780285778918153
2018,KIRKLARELİ,16936,14745,2191,360860,80,46.93232832677493,40.860721609488444,6.071606717286482,5.148684304357132,5.362697523951732,140.0,3.747129209572564,0.3111798109531021
2019,KIRKLARELİ,15352,14468,884,361836,80,42.42806133165301,39.984965564509885,2.4430957671431255,-1.8786029162427886,-9.352857817666504,-1307.0,-2.143271118283907,-3.6285109501433563
2020,KIRKLARELİ,13852,11596,2256,361737,80,38.293013985298714,32.0564387939304,6.236575191368314,-19.850705004147084,-9.770713913496609,1372.0,-19.828769785453414,3.793479424225189
2021,KIRKLARELİ,17846,13855,3991,366363,80,48.7112508632149,37.81768355428905,10.893567308925846,19.48085546740255,28.833381461160833,1735.0,17.97219209967107,4.6569921175575315
2022,KIRKLARELİ,18230,13843,4387,369347,80,49.35737937495092,37.47966004868051,11.877719326270418,-0.0866113316492223,2.151742687436964,396.0,-0.8938239306045537,0.9841520173445719
2023,KIRKLARELİ,22171,14336,7835,377156,80,58.78469386672889,38.01079659345204,20.77389727327684,3.561366755761042,21.618211738891937,3448.0,1.41713277036577,8.896177947006423
2024,KIRKLARELİ,15265,14128,1137,379031,80,40.27375069585337,37.273996058369896,2.999754637483478,-1.4508928571428603,-31.14879797934238,-6698.0,-1.9383980371752374,-17.774142635793364
2008,KIRŞEHİR,9822,12312,-2490,222735,80,44.0972456057647,55.27644959256516,-11.179203986800458,,,,,
2009,KIRŞEHİR,10947,12186,-1239,223102,80,49.067242785810976,54.62075642531219,-5.553513639501214,-1.0233918128654929,11.453879047037274,1251.0,-1.1862070955822812,5.625690347299243
2010,KIRŞEHİR,9875,12626,-2751,221876,80,44.5068416593052,56.905659016748096,-12.398817357442896,3.6107008042015387,-9.792637252215219,-1512.0,4.183213014562082,-6.845303717941682
2011,KIRŞEHİR,9598,11870,-2272,221015,80,43.42691672510916,53.70676198448069,-10.279845259371536,-5.987644543006498,-2.8050632911392426,479.0,-5.621404070421054,2.11897209807136
2012,KIRŞEHİR,9733,9898,-165,221209,80,43.999113960101084,44.74501489541565,-0.7459009353145668,-16.613310867733787,1.4065430297978798,2107.0,-16.68644088365383,9.53394432405697
2013,KIRŞEHİR,11259,11346,-87,223498,80,50.37628972071338,50.76555494903757,-0.38926522832419086,14.629218023843205,15.67861913079216,78.0,13.45521968803447,0.35663570699037594
2014,KIRŞEHİR,10648,12199,-1551,222707,80,47.811698779113364,54.77600614259992,-6.9643073634865535,7.518068041600556,-5.426769695354827,-1464.0,7.899945539033992,-6.575042135162363
2015,KIRŞEHİR,11928,11544,384,225562,80,52.88124772789743,51.17883331412206,1.70241441377537,-5.369292564964345,12.021036814425234,1935.0,-6.567059341846204,8.666721777261923
2016,KIRŞEHİR,12188,11362,826,229975,80,52.997064898358516,49.40537014892924,3.5916947494292857,-1.5765765765765716,2.1797451374916177,442.0,-3.4652278107001333,1.8892803356539156
2017,KIRŞEHİR,10840,11329,-489,234529,80,46.22029685028291,48.305326846573344,-2.0850299962904373,-0.2904418236226003,-11.060059074499506,-1315.0,-2.2265662599832425,-5.6767247457197225
2018,KIRŞEHİR,15835,12144,3691,241868,80,65.46959498569467,50.2092050209205,15.260389964774175,7.193927089769625,46.07933579335792,4180.0,3.9413420809556454,17.345419961064614
2019,KIRŞEHİR,10853,13028,-2175,242938,80,44.673949732030394,53.62685129539224,-8.952901563361847,7.279314888010546,-31.46195137353963,-5866.0,6.806812163322884,-24.213291528136022
2020,KIRŞEHİR,9960,10835,-875,243042,80,40.98057125928852,44.58077204762963,-3.60020078834111,-16.83297513048818,-8.228139684879753,1300.0,-16.868563097121225,5.352700775020737
2021,KIRŞEHİR,11676,13193,-1517,242944,80,48.0604583772392,54.30469573234984,-6.244237355110643,21.762805722196575,17.228915662650614,-642.0,21.8119230289042,-2.6440365667695334
2022,KIRŞEHİR,13231,11934,1297,244519,80,54.11031453588474,48.80602325381668,5.30429128206806,-9.542939437580532,13.317917094895515,2814.0,-10.125593016181,11.548528637178702
2023,KIRŞEHİR,16475,12735,3740,247179,80,66.6521023226083,51.52136710642895,15.130735216179367,6.711915535444946,24.518177008540555,2443.0,5.563542512962116,9.826443934111307
2024,KIRŞEHİR,11390,12511,-1121,244546,80,46.5761042912172,51.16010893655999,-4.584004645342798,-1.758932076953279,-30.864946889226097,-4861.0,-0.7011812577152554,-19.714739861522165
2008,KOCAELİ,63965,40947,23018,1490358,80,42.91921806706845,27.474606772332553,15.444611294735896,,,,,
2009,KOCAELİ,60432,48399,12033,1522408,80,39.69500948497381,31.79108359914031,7.903925885833496,18.19913546779983,-5.5233330727741725,-10985.0,15.7107865549309,-7.5406854089024
2010,KOCAELİ,64503,49379,15124,1560138,80,41.344419532118316,31.650405284660717,9.694014247457597,2.024835223868271,6.73649722001588,3091.0,-0.4425087117300941,1.7900883616241003
2011,KOCAELİ,63314,50070,13244,1601720,80,39.52875658666933,31.260145343755465,8.268611242913869,1.3993803033678365,-1.843325116661243,-1880.0,-1.2330329971932175,-1.4254030045437283
2012,KOCAELİ,62966,51561,11405,1634691,80,38.51859464571592,31.54174091617315,6.9768537295427695,2.977831036548828,-0.5496414695012164,-1839.0,0.9008133817712372,-1.291757513371099
2013,KOCAELİ,71159,54742,16417,1676202,80,42.4525206389206,32.65835501926379,9.79416561965682,6.169391594422136,13.011784137471016,5012.0,3.5401156393307653,2.81731189011405
2014,KOCAELİ,79697,55060,24637,1722795,80,46.26029214154905,31.959693405193306,14.300598736355747,0.5809067991670025,11.99848227209488,8220.0,-2.1393043637941034,4.506433116698927
2015,KOCAELİ,87158,56927,30231,1780055,80,48.963655617382614,31.980472513489755,16.98318310389286,3.3908463494369823,9.361707467031376,5594.0,0.06501660711510926,2.682584367537112
2016,KOCAELİ,85602,60479,25123,1830772,80,46.75732423261881,33.034697930709015,13.722626301909795,6.2395699755827705,-1.785263544367699,-5108.0,3.296466044316815,-3.260556801983064
2017,KOCAELİ,87796,60258,27538,1883270,80,46.61891284839667,31.996474217717058,14.622438630679616,-0.3654160948428409,2.5630242284058857,2415.0,-3.1428279294990147,0.899812328769821
2018,KOCAELİ,80457,79970,487,1906391,80,42.20382912004935,41.948372605619724,0.25545651442962125,32.71266885724717,-8.359150758576705,-27051.0,31.103109424450626,-14.366982116249995
2019,KOCAELİ,82977,65675,17302,1953035,80,42.48618176325565,33.627149539050755,8.859032224204892,-17.875453294985622,3.1321078339982877,16815.0,-19.83681976128484,8.60357570977527
